source_file;entrypoint_from_main;depth;function;function_camel_case;called_by;path_from_main
src/imageCompositeConverter.py;main;2;_writeQualityPassReport;_writeQualityPassReport;convertRange;main > convertRange > _writeQualityPassReport
src/imageCompositeConverter.py;main;2;_writeBatchFailureSummary;_writeBatchFailureSummary;convertRange;main > convertRange > _writeBatchFailureSummary
src/imageCompositeConverter.py;main;2;_harmonizeSemanticSizeVariants;_harmonizeSemanticSizeVariants;convertRange;main > convertRange > _harmonizeSemanticSizeVariants
src/imageCompositeConverter.py;main;3;_readSvgGeometry;_readSvgGeometry;_harmonizeSemanticSizeVariants;main > convertRange > _harmonizeSemanticSizeVariants > _readSvgGeometry
src/imageCompositeConverter.py;main;3;_normalizedGeometrySignature;_normalizedGeometrySignature;_harmonizeSemanticSizeVariants;main > convertRange > _harmonizeSemanticSizeVariants > _normalizedGeometrySignature
src/imageCompositeConverter.py;main;3;_maxSignatureDelta;_maxSignatureDelta;_harmonizeSemanticSizeVariants;main > convertRange > _harmonizeSemanticSizeVariants > _maxSignatureDelta
src/imageCompositeConverter.py;main;3;_harmonizationAnchorPriority;_harmonizationAnchorPriority;_harmonizeSemanticSizeVariants;main > convertRange > _harmonizeSemanticSizeVariants > _harmonizationAnchorPriority
src/imageCompositeConverter.py;main;3;_familyHarmonizedBadgeColors;_familyHarmonizedBadgeColors;_harmonizeSemanticSizeVariants;main > convertRange > _harmonizeSemanticSizeVariants > _familyHarmonizedBadgeColors
src/imageCompositeConverter.py;main;4;_clipGray;_clipGray;_familyHarmonizedBadgeColors;main > convertRange > _harmonizeSemanticSizeVariants > _familyHarmonizedBadgeColors > _clipGray
src/imageCompositeConverter.py;main;4;_clipGray;_clipGray;_familyHarmonizedBadgeColors;main > convertRange > _harmonizeSemanticSizeVariants > _familyHarmonizedBadgeColors > _clipGray
src/imageCompositeConverter.py;main;4;_clipGray;_clipGray;_familyHarmonizedBadgeColors;main > convertRange > _harmonizeSemanticSizeVariants > _familyHarmonizedBadgeColors > _clipGray
src/imageCompositeConverter.py;main;4;_clipGray;_clipGray;_familyHarmonizedBadgeColors;main > convertRange > _harmonizeSemanticSizeVariants > _familyHarmonizedBadgeColors > _clipGray
src/imageCompositeConverter.py;main;4;_clipGray;_clipGray;_familyHarmonizedBadgeColors;main > convertRange > _harmonizeSemanticSizeVariants > _familyHarmonizedBadgeColors > _clipGray
src/imageCompositeConverter.py;main;3;_scaleBadgeParams;_scaleBadgeParams;_harmonizeSemanticSizeVariants;main > convertRange > _harmonizeSemanticSizeVariants > _scaleBadgeParams
src/imageCompositeConverter.py;main;4;_needsLargeCircleOverflowGuard;_needsLargeCircleOverflowGuard;_scaleBadgeParams;main > convertRange > _harmonizeSemanticSizeVariants > _scaleBadgeParams > _needsLargeCircleOverflowGuard
src/imageCompositeConverter.py;main;2;_writeSemanticAuditReport;_writeSemanticAuditReport;convertRange;main > convertRange > _writeSemanticAuditReport
src/imageCompositeConverter.py;main;2;_writePixelDelta2Ranking;_writePixelDelta2Ranking;convertRange;main > convertRange > _writePixelDelta2Ranking
src/imageCompositeConverter.py;main;2;_writeAc08WeakFamilyStatusReport;_writeAc08WeakFamilyStatusReport;convertRange;main > convertRange > _writeAc08WeakFamilyStatusReport
src/imageCompositeConverter.py;main;2;_writeAc08RegressionManifest;_writeAc08RegressionManifest;convertRange;main > convertRange > _writeAc08RegressionManifest
src/imageCompositeConverter.py;main;2;_writeAc08SuccessCriteriaReport;_writeAc08SuccessCriteriaReport;convertRange;main > convertRange > _writeAc08SuccessCriteriaReport
src/imageCompositeConverter.py;main;3;_summarizePreviousGoodAc08Variants;_summarizePreviousGoodAc08Variants;_writeAc08SuccessCriteriaReport;main > convertRange > _writeAc08SuccessCriteriaReport > _summarizePreviousGoodAc08Variants
